ro,"Dani Mocanu, Ministerul Manelelor, Babasha, Jimin, RAVA, Tzanca Uraganu, Gya, Sami G, IDK, Costel Biju, Bruno Mars, The Weeknd, Bogdan DLP, Mgk666, Denis Ramniceanu, Billie Eilish, Oscar, Alex Botea, Theo Rose, Iuly Neamtu, Manele Mentolate, Lady Gaga, Playboi Carti, candyboii, YNY Sebi, Johny Romano, NOUA UNSPE, AlbertNbn, ROSÉ, Anitta, Sheik, Gigi Perez, Misha Miller, Alex Velea, Don Toliver","manele, trap, k-pop, art pop, pop, rage rap, brazilian pop, funk pop, funk carioca, funk, pagode baiano"
ru,"Jimin, V, Park Hyo Shin, Neton Vega, Arcane, MC Tuto, Gabito Ballesteros, Luis R Conriquez, Stromae, Pomme, FloyyMenor, Shaboozey, Jin, Mark Ambor, yung kai, Natanael Cano, Cris Mj, Jorsshh, Fuerza Regida, DJ Glenner, Chino Pacas, Adam Port, Stryv, Keinemusik, Orso, Malachiii, Brenno & Matheus, DJ Ari SL, Oruam, Zé Felipe, Dj Lc da Roça, MC K9, Mc Rodrigo do CN, mc pl alves, Nilo, Mc Paiva ZS, DJ Di Marques, FamousKyo, Ndotz, Sevdaliza, Pabllo Vittar, Yseult, Bing Crosby, ILLIT, PARTYNEXTDOOR, Alleh, Yorghaki, Ariis, KISS OF LIFE, Nuzio Medeiros","funk, k-pop, corrido, trap funk, corridos tumbados, corridos bélicos, electro corridos, funk consciente, piseiro, música mexicana, arrocha, sad sierreño, banda, sertanejo, forró, funk carioca, brazilian funk, sierreño, afro house, agronejo, sertanejo universitário, french pop, seresta, k-ballad, reggaeton chileno, chilean trap, chanson, melodic house, brazilian trap, funk de bh, chilean mambo, reggaeton, house, trap, brazilian pop, funk pop, tecnobrega, christmas, r&b, phonk, drift phonk, tropical house, rap, norteño, grupera, ranchera, bedroom pop"
sk,"Viktor Sheen, Calin, Luca Brassi10x, Separ, Yzomandias, P T K, Hard Rico, Saul, SIMILIVINLIFE, Ektor, Bruno Mars, Pil C, Billie Eilish, The Weeknd, Shimmi, Sara Rikas, Sima, Sofian Medjmedj, Lady Gaga, Le Winter, STEIN27, Gigi Perez, ROSÉ, Playboi Carti, Peter Pann, Gracie Abrams, Ben Cristovao, GABRIELL, Crosso, Tisci, Zayo, Anitta, Rytmus, Nik Tendo, Cédric, 13Many, Disturbed, CYRIL, Alan Murin, Dollar Prync, Strapo, V, Park Hyo Shin","k-pop, art pop, pop, rage rap, brazilian pop, funk pop, funk carioca, funk, pagode baiano, metal, nu metal, alternative metal, rap metal, hard rock, heavy metal, rock, k-ballad"
mk,"Kendrick Lamar, Sabrina Carpenter, Jimin, Tito Double P, Bruno Mars, Billie Eilish, ROSÉ, SZA, Gracie Abrams, Rauw Alejandro, Tyler, The Creator, Lola Young, Peso Pluma, Lady Gaga, Gigi Perez, The Weeknd, Playboi Carti, Chappell Roan, KAROL G, Lefty Gunplay, Oscar Maydon, Fuerza Regida, Bad Bunny, GloRilla, Sexyy Red, Lil Wayne, Romeo Santos, yung kai, Henry Freitas, Mc Th, V, Park Hyo Shin, Tommy Richman, Gabito Ballesteros, Natanael Cano, Luis R Conriquez, Neton Vega, Benson Boone, Myke Towers, benny blanco, Eric Land, Natanzinho Lima, Ariana Grande, Teddy Swims, Myles Smith, Stromae, Pomme, Arcane","corridos tumbados, corrido, corridos bélicos, electro corridos, música mexicana, k-pop, sad sierreño, banda, hip hop, west coast hip hop, reggaeton, latin, urbano latino, trap latino, sierreño, r&b, forró, piseiro, arrocha, seresta, sertanejo, pop, brega, french pop, art pop, rage rap, mexican hip hop, rap, bachata, bachata pop, funk, funk carioca, brazilian funk, k-ballad, chanson"
lv,"Billie Eilish, Jimin, Kendrick Lamar, Wiesulis, The Weeknd, Playboi Carti, Bruno Mars, sangvn, Sudrabu Sirds, Bimboutika, Tyler, The Creator, Lola Young, Big Baby Tape, Arcane, Stromae, Pomme, Gigi Perez, Lady Gaga, ROSÉ, Gracie Abrams, Chrystal, NOTION, Grēta, Chappell Roan, Lefty Gunplay, OLAS, Esmeralda, heywhosthatkid, Deniss, Anitta, FORTUNA 812, Hozier, Teddy Swims, Tommy Richman, Edgars Bokāns, Don Toliver, GloRilla, Sexyy Red, Lil Wayne, onset, Future, Metro Boomin, Travis Scott, Gunna, Bermudu Divstūris, DJ Guano, Aarne, Lost Frequencies, Tom Odell, ¥$","k-pop, hip hop, west coast hip hop, rap, french pop, rage rap, chanson, art pop, pop, bassline, drum and bass, bass house, uk garage, mexican hip hop, brazilian pop, funk pop, funk carioca, funk, pagode baiano, melodic rap, tropical house, r&b"
ua,"Klavdia Petrivna, mapt0v, Parfeniuk, Billie Eilish, fallen777angel, Bruno Mars, fleurnothappy, The Weeknd, Stromae, Pomme, Arcane, FORTUNA 812, OSTY, Wellboy, Okean Elzy, Lady Gaga, CHEEV, MONATIK, паранойя, Раковая Выхухоль, Геля Зозуля, Adam, Маша Кондратенко, ROSÉ, Полка, volhey, Chico, Qatoshi, paashee, Playboi Carti, Anitta, KRISTIEE, Nessa Barrett, nyan.mp3, Big Baby Tape, Poshlaya Molly, DOROFEEVA, LEBIGA, Ariis, kn1gsw0rd, BAH.ROMA, TOKYOPHILE, DJ ANXVAR, MC LONE, NAZVA, BRYKULETS, ENINA, Artemas, YungMeechy, Jimin","phonk, french pop, brazilian funk, k-pop, chanson, jersey club, art pop, pop, rage rap, brazilian pop, funk pop, funk carioca, funk, pagode baiano, hyperpop, drift phonk"
al,"Kendrick Lamar, Sabrina Carpenter, Jimin, Tito Double P, Bruno Mars, Billie Eilish, ROSÉ, SZA, Gracie Abrams, Rauw Alejandro, Tyler, The Creator, Lola Young, Peso Pluma, Lady Gaga, Gigi Perez, The Weeknd, Playboi Carti, Chappell Roan, KAROL G, Lefty Gunplay, Oscar Maydon, Fuerza Regida, Bad Bunny, GloRilla, Sexyy Red, Lil Wayne, Romeo Santos, yung kai, Henry Freitas, Mc Th, V, Park Hyo Shin, Tommy Richman, Gabito Ballesteros, Natanael Cano, Luis R Conriquez, Neton Vega, Benson Boone, Myke Towers, benny blanco, Eric Land, Natanzinho Lima, Ariana Grande, Teddy Swims, Myles Smith, Stromae, Pomme, Arcane","corridos tumbados, corrido, corridos bélicos, electro corridos, música mexicana, k-pop, sad sierreño, banda, hip hop, west coast hip hop, reggaeton, latin, urbano latino, trap latino, sierreño, r&b, forró, piseiro, arrocha, seresta, sertanejo, pop, brega, french pop, art pop, rage rap, mexican hip hop, rap, bachata, bachata pop, funk, funk carioca, brazilian funk, k-ballad, chanson"
ad,"Kendrick Lamar, Sabrina Carpenter, Jimin, Tito Double P, Bruno Mars, Billie Eilish, ROSÉ, SZA, Gracie Abrams, Rauw Alejandro, Tyler, The Creator, Lola Young, Peso Pluma, Lady Gaga, Gigi Perez, The Weeknd, Playboi Carti, Chappell Roan, KAROL G, Lefty Gunplay, Oscar Maydon, Fuerza Regida, Bad Bunny, GloRilla, Sexyy Red, Lil Wayne, Romeo Santos, yung kai, Henry Freitas, Mc Th, V, Park Hyo Shin, Tommy Richman, Gabito Ballesteros, Natanael Cano, Luis R Conriquez, Neton Vega, Benson Boone, Myke Towers, benny blanco, Eric Land, Natanzinho Lima, Ariana Grande, Teddy Swims, Myles Smith, Stromae, Pomme, Arcane","corridos tumbados, corrido, corridos bélicos, electro corridos, música mexicana, k-pop, sad sierreño, banda, hip hop, west coast hip hop, reggaeton, latin, urbano latino, trap latino, sierreño, r&b, forró, piseiro, arrocha, seresta, sertanejo, pop, brega, french pop, art pop, rage rap, mexican hip hop, rap, bachata, bachata pop, funk, funk carioca, brazilian funk, k-ballad, chanson"
by,"Jimin, V, mapt0v, fallen777angel, Park Hyo Shin, FORTUNA 812, Big Baby Tape, Icegergert, Aarne, fleurnothappy, Bing Crosby, Poshlaya Molly, паранойя, Раковая Выхухоль, Полка, nyan.mp3, Toxi$, YungMeechy, KRISTIEE, БРЕДИШЬ, Lida, СЕРЕГА ПИРАТ, ENINA, volhey, Monetochka, FRIENDLY THUG 52 NGG, Юпи, shadowraze, kn1gsw0rd, dope17, Stray Kids, madk1d, TOMORROW X TOGETHER","k-pop, hyperpop, k-ballad, christmas, happy hardcore, rave, phonk"
bg,"Medi, Djordan, Galena, Emanuela, Tomas, Konstantin, Jimin, VANE$$A, The Weeknd, Tedi Aleksandrova, Bruno Mars, DJ Damyan, Dessita, Alex Robov, Fiki, Danna, Selina, Billie Eilish, SIMONA, Arcane, Stromae, Pomme, Monkey, Sabi, Playboi Carti, Silver, Lady Gaga, Emilia, Tsvetelina Yaneva, Engel Montaz, ROSÉ, Anitta, Azis, Adam, Ivayla, Preslava, Alisia, Tzanca Uragan, Mirela, V:RGO, Boro Purvi, Krisko, HUGEL, Topic, Arash, Daecolm, Galin, MOMO RECORDS, Gracie Abrams, Kendrick Lamar","folk pop, k-pop, french pop, afro house, manele, west coast hip hop, chanson, rage rap, art pop, pop, dembow, brazilian pop, funk pop, funk carioca, funk, pagode baiano, oyun havasi, latin house, tech house, hip hop, mexican hip hop"
