,year,round,from_country,to_country,total_points,tele_points,jury_points,from_capital,to_capital,distance
130,1958,final,fr,fr,0,,,Paris,Paris,0.0
131,1958,final,fr,ch,3,,,Paris,Bern,439.4187580348944
132,1958,final,fr,it,1,,,Paris,Rome,1106.6514654769796
133,1958,final,fr,se,0,,,Paris,Stockholm,1545.1179668444095
134,1958,final,fr,be,0,,,Paris,Brussels,261.801328672752
135,1958,final,fr,at,3,,,Paris,Vienna,1036.0407521679517
136,1958,final,fr,de,2,,,Paris,Berlin,879.1173202399925
137,1958,final,fr,dk,1,,,Paris,København,1028.2593187791992
138,1958,final,fr,nl,0,,,Paris,Amsterdam,428.811084580661
139,1958,final,fr,lu,0,,,Paris,Luxembourg,287.3413976495997
140,1958,final,de,fr,1,,,Berlin,Paris,879.1173202399925
141,1958,final,de,ch,0,,,Berlin,Bern,755.5725545140924
142,1958,final,de,it,4,,,Berlin,Rome,1182.2198917921066
143,1958,final,de,se,0,,,Berlin,Stockholm,810.1104952838541
144,1958,final,de,be,5,,,Berlin,Brussels,654.1588402686469
145,1958,final,de,at,0,,,Berlin,Vienna,524.8127243398101
146,1958,final,de,de,0,,,Berlin,Berlin,0.0
147,1958,final,de,dk,0,,,Berlin,København,355.6111228302461
148,1958,final,de,nl,0,,,Berlin,Amsterdam,576.9659417505894
149,1958,final,de,lu,0,,,Berlin,Luxembourg,603.3396258070721
150,1958,final,it,fr,6,,,Rome,Paris,1106.6514654769796
151,1958,final,it,ch,4,,,Rome,Bern,685.0903920981563
152,1958,final,it,it,0,,,Rome,Rome,0.0
153,1958,final,it,se,0,,,Rome,Stockholm,1975.4094461608236
154,1958,final,it,be,0,,,Rome,Brussels,1172.6152169771856
155,1958,final,it,at,0,,,Rome,Vienna,764.1043383207954
156,1958,final,it,de,0,,,Rome,Berlin,1182.2198917921066
157,1958,final,it,dk,0,,,Rome,København,1531.41171527301
158,1958,final,it,nl,0,,,Rome,Amsterdam,1293.6272974837725
159,1958,final,it,lu,0,,,Rome,Luxembourg,987.9252918784165
160,1958,final,lu,fr,1,,,Luxembourg,Paris,287.3413976495997
161,1958,final,lu,ch,5,,,Luxembourg,Bern,315.6768084051438
162,1958,final,lu,it,0,,,Luxembourg,Rome,987.9252918784165
163,1958,final,lu,se,3,,,Luxembourg,Stockholm,1324.3606796212912
164,1958,final,lu,be,0,,,Luxembourg,Brussels,187.14009930225865
165,1958,final,lu,at,1,,,Luxembourg,Vienna,765.8565588126423
166,1958,final,lu,de,0,,,Luxembourg,Berlin,603.3396258070721
167,1958,final,lu,dk,0,,,Luxembourg,København,802.6126363729492
168,1958,final,lu,nl,0,,,Luxembourg,Amsterdam,316.64920565521464
169,1958,final,lu,lu,0,,,Luxembourg,Luxembourg,0.0
170,1958,final,nl,fr,0,,,Amsterdam,Paris,428.811084580661
171,1958,final,nl,ch,6,,,Amsterdam,Bern,631.984668097504
172,1958,final,nl,it,1,,,Amsterdam,Rome,1293.6272974837725
173,1958,final,nl,se,2,,,Amsterdam,Stockholm,1127.8356543395107
174,1958,final,nl,be,0,,,Amsterdam,Brussels,173.5729934310053
175,1958,final,nl,at,0,,,Amsterdam,Vienna,935.9264958181074
176,1958,final,nl,de,0,,,Amsterdam,Berlin,576.9659417505894
177,1958,final,nl,dk,1,,,Amsterdam,København,622.7972574644137
178,1958,final,nl,nl,0,,,Amsterdam,Amsterdam,0.0
179,1958,final,nl,lu,0,,,Amsterdam,Luxembourg,316.64920565521464
180,1958,final,se,fr,1,,,Stockholm,Paris,1545.1179668444095
181,1958,final,se,ch,4,,,Stockholm,Bern,1546.9970467246567
182,1958,final,se,it,1,,,Stockholm,Rome,1975.4094461608236
183,1958,final,se,se,0,,,Stockholm,Stockholm,0.0
184,1958,final,se,be,1,,,Stockholm,Brussels,1283.8231729041247
185,1958,final,se,at,1,,,Stockholm,Vienna,1242.9880588648116
186,1958,final,se,de,1,,,Stockholm,Berlin,810.1104952838541
187,1958,final,se,dk,1,,,Stockholm,København,521.8561875671421
188,1958,final,se,nl,0,,,Stockholm,Amsterdam,1127.8356543395107
189,1958,final,se,lu,0,,,Stockholm,Luxembourg,1324.3606796212912
190,1958,final,ch,fr,1,,,Bern,Paris,439.4187580348944
191,1958,final,ch,ch,0,,,Bern,Bern,0.0
192,1958,final,ch,it,1,,,Bern,Rome,685.0903920981563
193,1958,final,ch,se,3,,,Bern,Stockholm,1546.9970467246567
194,1958,final,ch,be,1,,,Bern,Brussels,492.811168264156
195,1958,final,ch,at,2,,,Bern,Vienna,684.6758502979812
196,1958,final,ch,de,0,,,Bern,Berlin,755.5725545140924
197,1958,final,ch,dk,0,,,Bern,København,1036.7440357106227
198,1958,final,ch,nl,1,,,Bern,Amsterdam,631.984668097504
199,1958,final,ch,lu,1,,,Bern,Luxembourg,315.6768084051438
200,1959,final,at,nl,3,,,Vienna,Amsterdam,935.9264958181074
201,1959,final,at,gb,2,,,Vienna,London,1237.492543618928
202,1959,final,at,fr,1,,,Vienna,Paris,1036.0407521679517
