name,San Marino,Luxembourg,Monaco,Ljubljana,Bratislava,Podgorica,Bern,Skopje,Reykjavík,Rabat,Chi?in?u,Vilnius,Riga,Zagreb,Tallinn,Tbilisi,Belgrade,Tirana,Yerevan,Baku,Sofia,Minsk,Canberra,Sarajevo,Valletta,Jerusalem,Nicosia,Ankara,Budapest,Bucharest,Lisbon,Oslo,Warsaw,Dublin,Prague,Helsinki,København,Brussels,Kyiv,Madrid,Stockholm,Amsterdam,Berlin,Athens,Vienna,London,Moscow,Rome,Paris
Vilnius,1514.0945986145396,1422.3202244797747,1774.429578763613,1227.3643269655197,923.239099452363,1431.5090117647933,1518.6749168270248,1441.9485582998193,2798.602073697239,3374.407967157835,891.6323774394581,0.0,264.5452750862203,1189.7929536596323,531.7467675990431,2012.697236980928,1153.1943237402,1542.3698727506946,2135.3215915194687,2385.205851288417,1345.3830451739395,170.1117986998041,11162.566740028768,1307.052063480586,2247.433785562629,2648.5918050888304,2250.481356894669,1733.01333760888,911.0507015381921,1144.1392535710784,3117.9941837231345,1052.466360300737,395.1892771220252,2056.138992939302,898.6542155427928,612.3874400608194,818.453086322928,1472.312867906591,589.8353014937695,2663.071620555514,680.1459470462016,1371.664617649985,822.2649326686237,1862.1534913455707,951.400648758101,1728.8992006982928,785.2702685711315,1706.4942552144146,1701.2323977055182
Riga,1662.699421004705,1442.1027723186787,1878.137422017996,1380.1904658144524,1087.0121013182904,1649.3864942760679,1589.3071207804742,1676.2049117476477,2582.512480806146,3441.1870732046455,1156.1624762836072,264.5452750862203,0.0,1361.3178878855706,279.32944660497776,2233.8348555902794,1375.1873120549362,1766.6168163950365,2364.2048888430563,2589.4439236892326,1590.546862481866,405.2212580891892,11237.550562926719,1513.3796642592265,2446.4835015799686,2912.7768495078262,2514.9386276157484,1996.8240354442744,1106.40553322328,1402.4095288071978,3145.56855775568,847.0212721593717,562.3263323831635,1958.9044870601892,995.1127397230621,361.44759013230464,726.2277914147486,1458.4702484611316,841.0791543837108,2711.687375985377,443.9496948296658,1333.2530473744248,844.4766690240924,2110.2369947394745,1104.4411466144652,1679.924406128563,840.4112092807399,1868.5407442241847,1705.3739022549878
Zagreb,349.8056028251153,852.3245048338571,718.4578930725054,118.64304883249076,274.8953224988077,451.8432031414902,668.4432825048661,604.9603546518782,3080.7088115288916,2329.3180505037967,996.3742656688744,1189.7929536596323,1361.3178878855706,0.0,1625.2663760555265,2330.4353369531864,366.3558587467025,582.5635402107629,2372.7077671524808,2769.448641894244,676.7805876683559,1224.4662118345384,11938.925901964329,286.4176170946301,1102.2939410008453,2244.048789582464,1863.556875233557,1512.0091375180837,302.90511490716466,807.1607798012209,2203.6862065637874,1608.540043007865,803.9322839885147,1803.7981156703402,490.6469377864244,1703.7545361319071,1125.0343826517178,1028.746038892065,1195.1630867719077,1705.4013828288744,1511.3052273643689,1086.8385304503308,771.0122897738127,1072.1487387816262,268.44381628945024,1342.0629742284932,1869.7247557616897,517.8512889566751,1084.6853095556698
Tallinn,1914.4091766316817,1614.2997973707504,2102.8583462864417,1636.1295966415191,1350.372485503774,1926.6161763172904,1795.844145661001,1955.4772191193017,2459.90154600907,3630.6300655409345,1414.6035832308037,531.7467675990431,279.32944660497776,1625.2663760555265,0.0,2402.6075750570135,1653.422314072434,2044.8624418022814,2543.1986060332797,2732.477680006389,1869.2825111491202,642.6087700764739,11206.257689686114,1788.1799629597122,2717.414079204239,3163.9879858335235,2769.3783445853805,2246.812586283068,1379.7432521051658,1675.7770508315814,3304.606260117027,789.3903199360399,835.1780081074573,2008.5803548539116,1229.5754247671614,82.11824203690522,836.2601055486616,1602.4780219114452,1071.6266130794472,2890.6189004774483,378.61421642938495,1458.9552139739867,1040.3537930303157,2388.5427022928766,1363.4112768062262,1786.0708083894042,870.6186480297754,2125.5363955090615,1859.2847316207767
Tbilisi,2625.4511780054095,3076.4825321644234,3029.8640247607855,2445.479471539147,2261.394482315551,2095.6418670931394,2983.2626177422994,1925.6869726965847,4810.805124473626,4550.9184014156235,1375.3866641194618,2012.697236980928,2233.8348555902794,2330.4353369531864,2402.6075750570135,0.0,1980.14548579414,2071.7923315656835,175.54466651401887,440.26441541456893,1761.836521549472,1844.4854471937444,9678.62247655015,2150.49808082326,2706.5621969346275,1428.566371987557,1257.915448601612,1028.0848302229213,2106.4091735796874,1532.522296264446,4513.758884982378,3065.0496228862366,2116.0444615391566,3933.301087148512,2487.921199329947,2456.1720896569354,2774.6966792265825,3208.6364968317507,1445.3527650260107,4011.547067612675,2677.492411660933,3179.6118275543013,2615.1495779455627,1853.355581056399,2317.6062873858173,3520.7555356420607,1649.5099721182248,2660.498591394401,3352.8912779126395
Belgrade,648.033570594111,1206.1019310919803,1050.1211151602195,484.9806180188882,449.5604494297036,279.3719500311159,1034.7077971689116,321.97191813042684,3371.8002287258314,2618.82653612897,695.6810013327366,1153.1943237402,1375.1873120549362,366.3558587467025,1653.422314072434,1980.14548579414,0.0,391.44586334160124,2015.03947526567,2420.222485563136,328.39398012747154,1135.6985494660935,11617.709340289097,198.75977065422947,1111.7796372340163,1905.679746151094,1516.748522419922,1146.514761820392,316.08732418301213,448.33759637566936,2536.7567503503883,1800.729957986179,825.9299654508778,2150.746312455232,740.1894124423928,1735.274455658955,1330.4210538345485,1375.6451487599288,981.1206068477894,2035.1622315690593,1622.8314083884654,1414.342149122947,1000.174032012783,801.7678611599599,489.0153229447839,1693.1539151651448,1717.635914482726,726.0211282066008,1448.4432650911442
Tirana,670.2127843437189,1406.1819503761828,1054.7524660573665,674.7885565890349,785.6745429262484,133.83643701862457,1164.5627327412037,154.71705252124306,3662.9873024807016,2480.0150340623454,963.3408901320586,1542.3698727506946,1766.6168163950365,582.5635402107629,2044.8624418022814,2071.7923315656835,391.44586334160124,0.0,2073.730122179041,2507.6486978157277,328.3556006726287,1516.3509695610953,11749.333158626243,302.61298495603825,760.90835527662,1711.4739376188493,1354.9859499966042,1111.8568404602395,687.4878169454375,621.5381829834052,2482.341267405173,2158.588724207042,1215.9731826444122,2357.367816552662,1057.2123775549207,2126.7046041563367,1679.5221197663295,1589.6954213503925,1312.2194332200233,1983.7789975157837,2005.448591738666,1662.806067436764,1333.6282096782224,496.59753840905086,808.9751491679817,1893.0072736423606,2067.307660090646,616.3074922478878,1603.174180511807
Yerevan,2654.058389801664,3142.7609081525843,3060.1580894501876,2489.512212614723,2323.049541627686,2108.5510559895793,3033.3535924256535,1932.6497976558953,4933.321014981561,4552.600510941734,1447.4573530136056,2135.3215915194687,2364.2048888430563,2372.7077671524808,2543.1986060332797,175.54466651401887,2015.03947526567,2073.730122179041,0.0,453.25647562977423,1774.9920323524289,1969.0300862228576,9691.946085698313,2176.2933353914577,2675.7001438795924,1285.4792253024557,1150.3912604393756,991.430216221928,2164.6038635531854,1567.0857185979385,4537.187157708327,3187.1530709589674,2213.9375146478887,4017.5237742964273,2561.4030124112987,2599.2917939412673,2879.705052005718,3281.465719545066,1557.6085556093126,4035.1065401192714,2806.6117058508707,3260.8238154614473,2703.41482335952,1816.268403878767,2379.033971390389,3596.479967128033,1809.6249257399713,2674.3911872620965,3414.865149962253
Baku,3065.7083260176382,3506.028161027403,3470.0485331212294,2884.083520684176,2694.4354338845405,2534.343802263549,3419.946158203867,2362.9058738234635,5171.8668589340405,4987.5675272094195,1805.9868108458404,2385.205851288417,2589.4439236892326,2769.448641894244,2732.477680006389,440.26441541456893,2420.222485563136,2507.6486978157277,453.25647562977423,0.0,2200.369303782272,2215.2127904510567,9246.787176978884,2590.707385391614,3125.9144813143394,1670.1568495863153,1585.9655358158209,1441.4004707594088,2541.152225460724,1972.732915010155,4954.003360909072,3431.940921032117,2522.46257711818,4348.620526715385,2914.0449689558013,2778.5896257504755,3169.6563745914204,3633.956340266146,1839.8843514656435,4451.784696407388,3032.5110335889644,3598.68969867869,3029.3246382218263,2267.564087301771,2750.6575261130483,3943.612925044719,1922.6085440665368,3099.6080439641987,3784.4453646491174
Sofia,892.8361952085,1527.2853372072882,1297.7361723998995,792.6255642859088,774.1319103312989,334.03760249287484,1335.2770011191703,173.66548333176664,3696.2634028619777,2790.8528013277246,653.5040628529584,1345.3830451739395,1590.546862481866,676.7805876683559,1869.2825111491202,1761.836521549472,328.39398012747154,328.3556006726287,1774.9920323524289,2200.369303782272,0.0,1290.1838595084655,11434.107577813098,420.0027820662118,1073.666237397373,1577.4390725835092,1190.1062725546965,849.9518579598652,628.0862525900056,299.08210771526785,2763.389230826245,2098.4303631240373,1075.3363385557343,2475.581687464939,1065.5428096939675,1951.2666992908364,1637.8905991295542,1699.9792177619584,1027.474058841011,2261.7129888375935,1886.7666868041636,1742.3512076899065,1318.5148951122449,521.0348647191402,816.1027995636355,2016.0810573754284,1788.059961255873,899.8078315390566,1760.2049021301511
