Series Name,Series Code,Country Name,Country Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population, total",SP.POP.TOTL,Sweden,SWE,10278887,10353442,10415811,10486941,10536632
"Population, total",SP.POP.TOTL,Switzerland,CHE,8575280,8638167,8704546,8777088,8888093
"Population, total",SP.POP.TOTL,Tunisia,TUN,11875081,11974057,12048622,12119334,12200431
"Population, total",SP.POP.TOTL,Turkiye,TUR,82579440,83384680,84147318,84979913,85325965
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,43166,44386,45243,45847,46198
"Population, total",SP.POP.TOTL,Ukraine,UKR,44957458,44680014,44298640,41048766,37732836
"Population, total",SP.POP.TOTL,United Kingdom,GBR,66836327,67081234,67026292,67791000,68350000
"Population, total",SP.POP.TOTL,United States,USA,328329953,331526933,332048977,333271411,334914895
"Population, total",SP.POP.TOTL,Norway,NOR,5347896,5379475,5408320,5457127,5519594
"Population, total",SP.POP.TOTL,Slovenia,SVN,2088385,2102419,2108079,2112076,2120461
Population growth (annual %),SP.POP.GROW,Albania,ALB,-0.426007367032238,-0.574206959244013,-0.926918061639398,-1.21579032012532,-1.14841763771287
Population growth (annual %),SP.POP.GROW,Andorra,AND,1.73050296926809,1.17775354895761,1.26362889534188,1.69676808598242,1.43374756867515
Population growth (annual %),SP.POP.GROW,Armenia,ARM,-0.219168932037313,-0.0337609726366775,0.0270096898904032,0.2326562627468,0.728178919340382
Population growth (annual %),SP.POP.GROW,Australia,AUS,1.47749071058438,1.23342825131378,0.14089508329287,1.27269881377618,2.4474661688131
Population growth (annual %),SP.POP.GROW,Austria,AUT,0.444673639004876,0.415176731565556,0.435671684056384,0.956287797076634,0.989464653969154
Population growth (annual %),SP.POP.GROW,Azerbaijan,AZE,0.846646726414021,0.684365325388407,0.441197735816311,0.039507866238038,0.120242150339289
Population growth (annual %),SP.POP.GROW,"Bahamas, The",BHS,0.497339072752345,0.300555038290333,0.128749531818761,0.293483989063331,0.477303918283875
Population growth (annual %),SP.POP.GROW,Belarus,BLR,-0.201786600970723,-0.42347525027949,-0.82823272086807,-0.804228426880244,-0.540824986374776
Population growth (annual %),SP.POP.GROW,Belgium,BEL,0.540461327098122,0.430996815099722,0.411601996532257,0.808165350001861,0.913715890414841
Population growth (annual %),SP.POP.GROW,Bosnia and Herzegovina,BIH,-1.23185506471358,-1.39008469041609,-1.66384860150923,-1.24363802761194,-0.617510129445164
Population growth (annual %),SP.POP.GROW,Brazil,BRA,0.651994346081362,0.579350709708032,0.425360907216456,0.360180890872169,0.395928695574996
Population growth (annual %),SP.POP.GROW,Canada,CAN,1.46171259938134,1.08436897113225,0.553902422386893,1.81192255344382,2.93227401162387
Population growth (annual %),SP.POP.GROW,Channel Islands,CHI,0.417438625700863,0.359172843142478,0.30392604241618,0.283869921965387,0.284259058075622
Population growth (annual %),SP.POP.GROW,"Congo, Dem. Rep.",COD,3.1695285579572,3.22098049233111,3.23790848096045,3.2234019442495,3.25963514299902
Population growth (annual %),SP.POP.GROW,"Congo, Rep.",COG,2.40634419722279,2.39477691216791,2.39414288318435,2.39665300284304,2.41919038084212
Population growth (annual %),SP.POP.GROW,Costa Rica,CRI,0.838278384859255,0.6929953994471,0.508564932290693,0.429453043658398,0.46646444898736
Population growth (annual %),SP.POP.GROW,Cote d'Ivoire,CIV,2.61916841176218,2.53019803537112,2.47398737434864,2.51622934953513,2.50384681190665
Population growth (annual %),SP.POP.GROW,Croatia,HRV,-0.992302961069294,-0.894863743984583,-0.904000889163613,-0.603521952188318,0.104856226330186
Population growth (annual %),SP.POP.GROW,Cyprus,CYP,1.24612155650882,1.20329712567783,1.1499785451605,1.06174678712373,1.0167681770201
